"","CNTRY_NAME","zone","weightedMeanCountryVert","weightedSDCountryVert"
"1","Angola",2,4.63576308861468,1.97569943351347
"2","Benin",4,19.1726278878254,1.75492566446339
"3","Burundi",7,37.362155770897,3.75307619771157
"4","Cameroon",9,6.22965480615783,6.87276207364416
"5","Central African Republic",11,3.83487868700262,3.25142642090842
"6","Comoros",13,7.1879769441622,4.78211817081149
"7","Mayotte",15,6.49258215201868,3.59036747905101
"8","Nigeria",16,15.0958230362954,4.78119515620173
"9","Congo",18,4.01055048358439,5.64598948917595
"10","Congo, DRC",19,3.63959479520164,4.51516492058838
"11","Cote d'Ivoire",20,11.4651702354352,2.59394333373672
"12","Equatorial Guinea",22,2.75991838404902,1.50743404398349
"13","Ethiopia",24,18.0172109028605,11.1785917554048
"14","Gabon",26,2.47586289592575,2.4727526751625
"15","Ghana",27,10.9855846369582,3.28857080666444
"16","Guinea",28,16.3058117145856,6.00890842941491
"17","Kenya",36,17.1760523896015,6.10289055753332
"18","Liberia",38,4.55976930839294,2.51240209611354
"19","Madagascar",40,23.7460637807823,10.9296555597835
"20","Mauritius",44,24.8451635500453,9.80280322530556
"21","Morocco",45,24.8483549697304,9.50502473340002
"22","Mozambique",46,14.894986343329,4.63099668023478
"23","Rwanda",49,30.8449545711332,2.63402189424904
"24","Reunion",50,9.57901463873062,5.15107164290684
"25","Sao Tome & Principe",51,12.3984745470683,4.44821240360852
"26","Sierra Leone",53,11.5397221380142,3.55453173248285
"27","Somalia",54,17.7529814909106,2.43856701323021
"28","Tanzania",56,15.8313571702511,6.46173005764166
"29","South Africa",57,25.4424103528331,9.77451544112509
"30","South Sudan",58,21.4981385741597,6.84428460747196
"31","Swaziland",59,29.8654850335672,7.70635602171556
"32","Togo",62,13.9574996026044,2.24143081604344
"33","Uganda",64,19.0319103604669,8.19760159481987
"34","Zambia",66,9.09116931030244,4.23143303191632
"35","Zimbabwe",67,18.7029933763718,5.13368572147696
"36","Portugal",68,23.0619108391569,5.35767500291912
"37","Afghanistan",70,27.3388819497207,7.6435181106282
"38","Bangladesh",71,21.369181639058,5.43622435686876
"39","Bhutan",72,7.96008192265308,4.46254041513409
"40","Myanmar",74,15.1735224982477,13.3711337613883
"41","Cambodia",75,11.9526580149391,7.76596505713013
"42","China",76,20.6832327536082,11.1371829360902
"43","Hong Kong (China)",77,11.2415221903328,5.29681429371063
"44","India",86,18.9380180756755,7.72049911939999
"45","Japan",87,16.1057654973657,14.463213092007
"46","Laos",91,9.07285828742776,8.04410626189894
"47","Nepal",95,15.9713398231634,7.32961800304158
"48","Pakistan",97,20.6615926257579,6.29563118763938
"49","South Korea",99,29.2960384389003,13.4784632057777
"50","Sri Lanka",100,13.962303385444,8.65005552865379
"51","Taiwan",101,13.6123198647415,14.8749682874972
"52","Thailand",103,20.0020463786424,12.4936220124712
"53","Vietnam",106,14.8925064124735,10.0146891843573
"54","Iran",137,36.6004317246175,9.97595823223633
"55","Iraq",138,38.8510237301097,2.60352263981543
"56","Antigua & Barbuda",183,6.27167542191113,5.26236925082161
"57","Belize",185,2.22123993980516,3.17981735266377
"58","Bermuda",186,20.6254684925079,0.851571896526015
"59","Cayman Is.",188,10.2695873202504,5.01670134814868
"60","Colombia",190,9.15157017579125,8.09028112660128
"61","Costa Rica",191,9.74935272307536,8.1071372869106
"62","Cuba",192,17.7140681590216,10.428820179983
"63","Dominica",193,2.63463771445998,2.19274526903002
"64","Dominican Republic",194,14.1578196933128,8.08795428363192
"65","El Salvador",195,20.0769506575827,9.85633258392264
"66","Grenada",197,5.16034574296376,3.68359485802044
"67","Guadeloupe",198,6.50957492995879,6.39403453583724
"68","Guatemala",199,14.4638712556418,13.051683114047
"69","Haiti",200,21.6753179189666,9.14510144413815
"70","Honduras",201,15.6242210984446,11.675789113682
"71","Jamaica",205,5.9940757320596,4.83331875595081
"72","Martinique",206,9.00525872088686,5.66631025527526
"73","Mexico",207,17.8584087723335,10.7482778827164
"74","Montserrat",208,11.5834796311425,6.96554193546309
"75","Nicaragua",210,13.0126800864753,8.76207457881534
"76","Panama",212,7.97028356813237,8.35410794724783
"77","Puerto Rico",213,16.9411451771936,10.1820035095306
"78","St. Kitts & Nevis",216,3.84683042291611,3.31394962100606
"79","St. Lucia",217,4.4227656026867,3.67846765114938
"80","St. Vincent & the Grenadines",220,8.28496971449901,6.01624516772367
"81","Sint Eustatius (Neth)",221,11.6287689208984,6.78506330955643
"82","The Bahamas",223,16.5584766304336,8.29847870622911
"83","Turks & Caicos Is.",224,14.2866255640984,5.37833902256696
"84","United States",225,14.0459169776948,10.9742080343147
"85","British Virgin Is.",226,6.17863323007311,3.06225413454378
"86","Virgin Is.",227,9.49469108350815,6.82602027537262
"87","Australia",234,26.5644616069772,13.877273924863
"88","Brunei",235,2.22159118043277,3.46262160822806
"89","Fiji",239,5.64312150754606,6.73150145720532
"90","Micronesia",240,18.6429212725892,8.13609475089005
"91","Indonesia",242,5.86831658906168,7.66107979565496
"92","Malaysia",246,4.58444031061314,6.33583276424832
"93","New Caledonia",247,8.67436300213506,5.70734327655613
"94","New Zealand",251,19.5996732410034,10.1451040181741
"95","Papua New Guinea",253,3.24577844183849,4.65926107544193
"96","Philippines",254,13.6275458989004,10.6391544847496
"97","Palau",256,3.25485067045878,2.47567239346706
"98","Solomon Is.",257,1.39544099634892,1.93585768771528
"99","Singapore",258,16.2888146326337,5.79021575675995
"100","Timor Leste",260,17.5106448886564,8.69539592171597
"101","Vanuatu",263,1.53656867056985,1.81978985498278
"102","Argentina",267,9.22985055564209,8.92682596819031
"103","Bolivia",268,6.278369097745,7.62694044458782
"104","Brazil",269,13.4134640735879,11.6075054240522
"105","Chile",270,18.4052502229172,5.74365856231912
"106","Ecuador",271,8.40833874188072,7.63647729240177
"107","French Guiana",272,0.569820330411815,1.16058452095093
"108","Guyana",274,3.15613607804518,6.94723074163099
"109","Suriname",275,1.29886305601844,3.77998652697079
"110","Paraguay",277,12.5397639979839,5.40484534374245
"111","Peru",278,6.1623061863421,7.79944847160685
"112","Trinidad & Tobago",280,4.52616922284511,5.47080570309832
"113","Uruguay",283,43.72336769104,8.14169487038115
"114","Venezuela",284,8.04851637562512,9.77974740263697
