pair,corr,t.stat,p.val
fa_vs_fr,-0.32105749090897845,-10.709537563216818,2.0729447754640933e-25
fa_vs_ia,-0.07178352841688375,-2.2735886768431004,0.02320246425860352
fa_vs_ir,-0.12495679656895314,-3.978711816050594,7.430051732477602e-5
fa_vs_va,0.5154719881135275,19.003646306994902,5.706945267112602e-69
fa_vs_vr,-0.003404119946093308,-0.10754064607237215,0.9143816960966097
fr_vs_ia,0.12890261036876854,4.106439115150241,4.346826262192322e-5
fr_vs_ir,0.0827301993363308,2.622531229650811,0.008860909298648289
fr_vs_va,-0.2595027173546874,-8.488791986176462,7.479465069281953e-17
fr_vs_vr,-0.0919036502670098,-2.9156803365509405,0.003628519728704644
ia_vs_ir,0.01095260418030636,0.3460259852772115,0.7293961174043038
ia_vs_va,0.0392448903477836,1.2407465898817192,0.21499096435464218
ia_vs_vr,0.026979688764822082,0.8526294434226372,0.39406939790575723
ir_vs_va,-0.09901549949210074,-3.143459610926598,0.0017189198974087985
ir_vs_vr,0.23683892710300003,7.701116229369876,3.239940501427396e-14
va_vs_vr,-0.009586849235417836,-0.3028733956759027,0.7620494642104879
